[2026-06-07T00:13:00.367874+00:00] USER=admin | ACTION=MANUAL_ROBOT_COMMAND:STOP | STATUS=SUCCESS | DETAILS=Manual joystick control update sent: command=STOP, x=200, y=200
[2026-06-07T00:13:00.475706+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T00:13:01.497842+00:00] USER=admin | ACTION=MANUAL_ROBOT_COMMAND:STOP | STATUS=SUCCESS | DETAILS=Manual joystick control update sent: command=STOP, x=200, y=200
[2026-06-07T00:13:02.630636+00:00] USER=admin | ACTION=MANUAL_ROBOT_COMMAND:STOP | STATUS=SUCCESS | DETAILS=Manual joystick control update sent: command=STOP, x=200, y=200
[2026-06-07T00:13:03.465655+00:00] USER=admin | ACTION=MANUAL_ROBOT_COMMAND:DOWN | STATUS=SUCCESS | DETAILS=Manual joystick control update sent: command=DOWN, x=200, y=215
[2026-06-07T00:13:03.676281+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T00:13:03.974050+00:00] USER=admin | ACTION=MANUAL_ROBOT_COMMAND:DOWN | STATUS=SUCCESS | DETAILS=Manual joystick control update sent: command=DOWN, x=200, y=215
[2026-06-07T00:13:06.850631+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T00:13:10.063321+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T00:13:13.243474+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
